Date,QQQ,QQQx3,SOXX,SOXXx3,SPY,SPYx3
2001-07-13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2001-07-16,9814.6,9439.72,9420.51,8257.45,9874.84,9620.43
2001-07-17,10034.76,10071.22,9807.3,9271.26,9967.28,9886.77
2001-07-18,9652.38,8915.86,9401.24,8115.96,9899.38,9680.76
2001-07-19,9881.81,9548.03,9800.41,9146.49,9986.09,9931.25
2001-07-20,9652.38,8879.11,9752.24,9007.88,9926.37,9749.05
2001-07-23,9411.36,8210.35,9456.3,8184.15,9730.86,9169.0
2001-07-24,9304.75,7928.0,9201.65,7519.65,9636.78,8899.32
2001-07-25,9385.86,8132.04,9036.48,7111.59,9743.13,9190.26
2001-07-26,9524.91,8490.11,9876.12,9091.01,9845.39,9475.84
2001-07-27,9721.9,9013.46,10104.61,9718.35,9883.02,9580.68
2001-07-30,9663.96,8848.66,10172.06,9909.01,9886.29,9586.31
2001-07-31,9677.87,8883.24,10172.06,9904.97,9927.19,9701.39
2001-08-01,9988.41,9734.78,10702.0,11449.02,9989.37,9879.73
2001-08-02,10176.13,10279.78,10908.47,12107.13,10030.27,9997.18
2001-08-03,10006.95,9763.0,10770.82,11644.01,9975.46,9829.33
2001-08-06,9849.36,9297.85,10578.11,11014.37,9841.3,9428.8
2001-08-07,9798.38,9149.77,10414.32,10498.34,9879.74,9535.57
2001-08-08,9385.86,7990.47,10295.94,10136.13,9696.5,9001.15
2001-08-09,9425.26,8087.86,9971.09,9172.63,9725.13,9077.26
2001-08-10,9334.88,7851.97,10034.41,9343.72,9758.67,9167.57
2001-08-13,9524.91,8328.33,10275.29,10012.83,9761.13,9170.77
2001-08-14,9409.04,8021.02,10316.59,10129.52,9757.04,9155.54
2001-08-15,9061.41,7128.71,9913.28,8937.4,9672.77,8914.6
2001-08-16,9168.02,7377.45,9786.65,8591.3,9706.32,9003.75
2001-08-17,8750.87,6367.51,9442.53,7681.66,9550.88,8567.66
2001-08-20,8871.38,6628.07,9545.77,7930.6,9639.23,8802.06
2001-08-21,8502.9,5799.62,9304.89,7327.19,9474.8,8348.24
2001-08-22,8734.65,6271.63,9593.94,8007.26,9572.97,8604.55
2001-08-23,8648.9,6084.51,9642.12,8124.81,9538.61,8508.59
2001-08-24,9107.76,7050.63,10057.81,9172.54,9736.58,9035.13
2001-08-27,9119.35,7074.83,10282.17,9782.87,9678.5,8869.97
2001-08-28,8834.3,6408.71,10041.29,9091.6,9536.98,8477.49
2001-08-29,8704.52,6123.83,9690.3,8134.74,9451.9,8247.39
2001-08-30,8382.39,5441.58,9428.77,7472.95,9270.29,7768.8
2001-08-31,8382.39,5439.44,9475.57,7581.28,9338.19,7936.44
2001-09-04,8220.16,5121.48,9222.3,6970.38,9278.47,7781.04
2001-09-05,8187.72,5058.89,8905.71,6249.89,9301.37,7835.72
2001-09-06,7856.32,4442.68,8492.77,5378.12,9061.68,7226.95
2001-09-07,7809.97,4362.38,8554.71,5493.78,8893.98,6823.0
2001-09-10,7902.67,4516.06,8546.46,5475.78,9002.78,7070.81
2001-09-17,7230.59,3362.69,7763.25,3968.93,8532.4,5960.64
2001-09-18,7068.37,3135.74,7807.3,4035.76,8511.94,5916.68
2001-09-19,6945.54,2971.71,7150.72,3016.85,8340.15,5557.38
2001-09-20,6713.79,2673.44,6689.61,2432.41,8075.1,5026.05
2001-09-21,6533.02,2456.57,6366.14,2078.72,7988.3,4862.24
2001-09-24,6862.11,2826.91,6999.31,2698.21,8269.14,5373.28
2001-09-25,6882.97,2851.71,6813.49,2482.38,8355.36,5539.51
2001-09-26,6644.26,2554.07,6620.78,2270.92,8325.8,5478.86
2001-09-27,6600.23,2502.41,6421.2,2064.77,8398.06,5619.64
2001-09-28,6716.11,2633.42,6600.14,2236.74,8576.26,5975.59
2001-10-01,6658.17,2564.38,6379.9,2012.07,8562.3,5944.39
2001-10-02,6679.03,2587.76,6262.9,1900.81,8669.87,6166.78
2001-10-03,7184.24,3174.29,6861.67,2445.47,8815.22,6475.24
2001-10-04,7253.77,3265.53,7260.84,2871.56,8822.61,6489.66
2001-10-05,7360.37,3408.57,7304.89,2923.0,8805.36,6449.75
2001-10-08,7383.55,3439.79,7598.07,3274.11,8747.88,6321.6
2001-10-09,7205.1,3189.38,7253.96,2828.3,8701.07,6218.27
2001-10-10,7531.87,3622.41,7666.9,3310.51,8894.87,6631.98
2001-10-11,8041.71,4357.0,8346.87,4190.38,9032.82,6938.67
2001-10-12,8006.95,4299.26,8203.72,3973.59,8991.77,6842.08
2001-10-15,7972.19,4242.0,8031.66,3722.41,8975.34,6802.58
2001-10-16,8101.97,4447.94,8279.42,4065.82,9032.0,6929.44
2001-10-17,7520.28,3488.6,7942.19,3567.8,8839.85,6485.14
2001-10-18,7724.22,3771.39,7653.13,3177.21,8820.96,6441.67
